"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-05-27,"g0-9","Hombre",0.9,61,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g10-19","Hombre",1.2,81,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g20-29","Hombre",5.2,360,0.1,1,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g30-39","Hombre",10.7,744,0.8,6,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g40-49","Hombre",15.6,1085,0.8,6,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g50-59","Hombre",17.4,1212,3.4,27,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g60-69","Hombre",17.8,1240,13.5,106,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g70-79","Hombre",16.3,1137,33,260,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g80-89","Hombre",11.9,827,36.6,288,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g90 o mas","Hombre",3.2,222,11.8,93,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g0-9","Mujer",0.6,53,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g10-19","Mujer",1.1,97,0.2,1,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g20-29","Mujer",7.5,659,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g30-39","Mujer",12.1,1064,0.2,1,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g40-49","Mujer",16.1,1417,0.6,4,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g50-59","Mujer",18.3,1610,2.1,13,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g60-69","Mujer",13.4,1183,6.7,42,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g70-79","Mujer",11.1,974,19.7,124,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g80-89","Mujer",13.2,1165,45.3,286,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-27,"g90 o mas","Mujer",6.7,591,25.4,160,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-28,"g0-9","Hombre",0.9,64,0,0,"2021-07-15",3,0,0,0,0,0,5067031
2020-05-28,"g10-19","Hombre",1.2,82,0,0,"2021-07-15",1,0,0,0,0,0,5067031
2020-05-28,"g20-29","Hombre",5.2,365,0.1,1,"2021-07-15",5,0,0,0,0,0,5067031
2020-05-28,"g30-39","Hombre",10.7,750,0.8,6,"2021-07-15",6,0,0,0,0,0,5067031
2020-05-28,"g40-49","Hombre",15.5,1090,0.9,7,"2021-07-15",5,1,0,0,0,0,5067031
2020-05-28,"g50-59","Hombre",17.4,1221,3.4,27,"2021-07-15",9,0,0,0,0,0,5067031
2020-05-28,"g60-69","Hombre",17.8,1250,13.4,106,"2021-07-15",10,0,0,0,0,0,5067031
2020-05-28,"g70-79","Hombre",16.3,1140,32.9,260,"2021-07-15",3,0,0,0,0,0,5067031
2020-05-28,"g80-89","Hombre",11.8,828,36.5,289,"2021-07-15",1,1,0,0,0,0,5067031
2020-05-28,"g90 o mas","Hombre",3.2,221,12,95,"2021-07-15",-1,2,0,0,0,0,5067031
2020-05-28,"g0-9","Mujer",0.6,56,0,0,"2021-07-15",3,0,0,0,0,0,5067031
2020-05-28,"g10-19","Mujer",1.1,99,0.2,1,"2021-07-15",2,0,0,0,0,0,5067031
2020-05-28,"g20-29","Mujer",7.5,663,0,0,"2021-07-15",4,0,0,0,0,0,5067031
2020-05-28,"g30-39","Mujer",12.1,1075,0.2,1,"2021-07-15",11,0,0,0,0,0,5067031
2020-05-28,"g40-49","Mujer",16.2,1441,0.6,4,"2021-07-15",24,0,0,0,0,0,5067031
2020-05-28,"g50-59","Mujer",18.2,1621,2.1,13,"2021-07-15",11,0,0,0,0,0,5067031
