"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g0-9","Dona / Mujer",6.9,14792,0,0,20210618,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22326,0.1,2,20210618,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27500,0,1,20210618,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29526,0.2,7,20210618,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36627,0.7,24,20210618,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32185,2.2,73,20210618,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20743,5.9,194,20210618,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14053,18.6,610,20210618,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11214,44.3,1450,20210618,"2021-06-18"
"g90 o más","Dona / Mujer",2,4336,27.8,911,20210618,"2021-06-18"
"g0-9","Home / Hombre",7.7,15166,0,0,20210618,"2021-06-18"
"g10-19","Home / Hombre",11.5,22484,0,1,20210618,"2021-06-18"
"g20-29","Home / Hombre",13,25507,0.1,3,20210618,"2021-06-18"
"g30-39","Home / Hombre",13.4,26317,0.3,11,20210618,"2021-06-18"
"g40-49","Home / Hombre",17.1,33588,1.3,56,20210618,"2021-06-18"
"g50-59","Home / Hombre",15.3,29891,4.6,194,20210618,"2021-06-18"
"g60-69","Home / Hombre",10.5,20578,13.9,579,20210618,"2021-06-18"
"g70-79","Home / Hombre",6.7,13066,28.1,1175,20210618,"2021-06-18"
"g80-89","Home / Hombre",3.9,7574,37.7,1575,20210618,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1704,13.9,581,20210618,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14786,0,0,20210617,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22306,0.1,2,20210617,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27459,0,1,20210617,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29500,0.2,7,20210617,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36601,0.7,24,20210617,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32174,2.2,73,20210617,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20738,5.9,194,20210617,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14051,18.6,610,20210617,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11213,44.3,1450,20210617,"2021-06-18"
"g90 o más","Dona / Mujer",2,4336,27.8,911,20210617,"2021-06-18"
"g0-9","Home / Hombre",7.7,15155,0,0,20210617,"2021-06-18"
"g10-19","Home / Hombre",11.5,22468,0,1,20210617,"2021-06-18"
"g20-29","Home / Hombre",13,25467,0.1,3,20210617,"2021-06-18"
"g30-39","Home / Hombre",13.4,26295,0.3,11,20210617,"2021-06-18"
"g40-49","Home / Hombre",17.1,33564,1.3,56,20210617,"2021-06-18"
"g50-59","Home / Hombre",15.3,29882,4.6,194,20210617,"2021-06-18"
"g60-69","Home / Hombre",10.5,20576,13.9,579,20210617,"2021-06-18"
"g70-79","Home / Hombre",6.7,13062,28.1,1175,20210617,"2021-06-18"
"g80-89","Home / Hombre",3.9,7574,37.7,1575,20210617,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1704,13.9,581,20210617,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14778,0,0,20210616,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22283,0.1,2,20210616,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27431,0,1,20210616,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29488,0.2,7,20210616,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36581,0.7,24,20210616,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32170,2.2,73,20210616,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20731,5.9,194,20210616,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14050,18.6,610,20210616,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11213,44.3,1450,20210616,"2021-06-18"
"g90 o más","Dona / Mujer",2,4336,27.8,911,20210616,"2021-06-18"
"g0-9","Home / Hombre",7.7,15151,0,0,20210616,"2021-06-18"
"g10-19","Home / Hombre",11.5,22443,0,1,20210616,"2021-06-18"
"g20-29","Home / Hombre",13,25428,0.1,3,20210616,"2021-06-18"
"g30-39","Home / Hombre",13.4,26290,0.3,11,20210616,"2021-06-18"
"g40-49","Home / Hombre",17.1,33552,1.3,56,20210616,"2021-06-18"
"g50-59","Home / Hombre",15.3,29866,4.6,194,20210616,"2021-06-18"
"g60-69","Home / Hombre",10.5,20571,13.9,579,20210616,"2021-06-18"
"g70-79","Home / Hombre",6.7,13061,28.1,1175,20210616,"2021-06-18"
"g80-89","Home / Hombre",3.9,7574,37.7,1575,20210616,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1704,13.9,581,20210616,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14772,0,0,20210615,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22268,0.1,2,20210615,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27403,0,1,20210615,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29477,0.2,7,20210615,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36559,0.7,24,20210615,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32156,2.2,73,20210615,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20718,5.9,194,20210615,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14047,18.6,610,20210615,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11211,44.3,1450,20210615,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.8,911,20210615,"2021-06-18"
"g0-9","Home / Hombre",7.7,15149,0,0,20210615,"2021-06-18"
"g10-19","Home / Hombre",11.5,22430,0,1,20210615,"2021-06-18"
"g20-29","Home / Hombre",13,25414,0.1,3,20210615,"2021-06-18"
"g30-39","Home / Hombre",13.4,26272,0.3,11,20210615,"2021-06-18"
"g40-49","Home / Hombre",17.1,33535,1.3,56,20210615,"2021-06-18"
"g50-59","Home / Hombre",15.3,29849,4.6,194,20210615,"2021-06-18"
"g60-69","Home / Hombre",10.5,20565,13.8,578,20210615,"2021-06-18"
"g70-79","Home / Hombre",6.7,13059,28.2,1175,20210615,"2021-06-18"
"g80-89","Home / Hombre",3.9,7572,37.7,1575,20210615,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1703,13.9,581,20210615,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14768,0,0,20210614,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22257,0.1,2,20210614,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27387,0,1,20210614,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29468,0.2,7,20210614,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36543,0.7,24,20210614,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32148,2.2,73,20210614,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20718,5.9,193,20210614,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14043,18.6,610,20210614,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11213,44.3,1450,20210614,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.9,911,20210614,"2021-06-18"
"g0-9","Home / Hombre",7.7,15147,0,0,20210614,"2021-06-18"
"g10-19","Home / Hombre",11.5,22420,0,1,20210614,"2021-06-18"
"g20-29","Home / Hombre",13,25392,0.1,3,20210614,"2021-06-18"
"g30-39","Home / Hombre",13.4,26261,0.3,11,20210614,"2021-06-18"
"g40-49","Home / Hombre",17.2,33527,1.3,56,20210614,"2021-06-18"
"g50-59","Home / Hombre",15.3,29837,4.6,194,20210614,"2021-06-18"
"g60-69","Home / Hombre",10.5,20560,13.8,578,20210614,"2021-06-18"
"g70-79","Home / Hombre",6.7,13059,28.2,1175,20210614,"2021-06-18"
"g80-89","Home / Hombre",3.9,7571,37.7,1575,20210614,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1703,13.9,581,20210614,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14765,0,0,20210612,"2021-06-18"
"g10-19","Dona / Mujer",10.5,22236,0.1,2,20210612,"2021-06-18"
"g20-29","Dona / Mujer",12.9,27370,0,1,20210612,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29453,0.2,7,20210612,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36522,0.7,24,20210612,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32138,2.2,73,20210612,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20713,5.9,193,20210612,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14041,18.6,610,20210612,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11212,44.3,1450,20210612,"2021-06-18"
"g90 o más","Dona / Mujer",2,4334,27.9,911,20210612,"2021-06-18"
