"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
"g0-9","Hombre",0.9,67,0,0,"2020-05-29",0,0,0,0,0,0,5003769
"g10-19","Hombre",1.2,87,0,0,"2020-05-29",0,0,0,0,0,0,5003769
"g20-29","Hombre",5.2,370,0.1,1,"2020-05-29",0,0,0,0,0,0,5003769
"g30-39","Hombre",10.7,756,0.8,6,"2020-05-29",0,0,0,0,0,0,5003769
"g40-49","Hombre",15.6,1100,0.9,7,"2020-05-29",0,0,0,0,0,0,5003769
"g50-59","Hombre",17.4,1232,3.4,27,"2020-05-29",0,0,0,0,0,0,5003769
"g60-69","Hombre",17.9,1261,13.4,106,"2020-05-29",0,0,0,0,0,0,5003769
"g70-79","Hombre",16.2,1142,32.9,260,"2020-05-29",0,0,0,0,0,0,5003769
"g80-89","Hombre",11.7,828,36.5,289,"2020-05-29",0,0,0,0,0,0,5003769
"g90 o mas","Hombre",3.1,221,12,95,"2020-05-29",0,0,0,0,0,0,5003769
"g0-9","Mujer",0.6,56,0,0,"2020-05-29",0,0,0,0,0,0,5003769
"g10-19","Mujer",1.2,106,0.2,1,"2020-05-29",0,0,0,0,0,0,5003769
"g20-29","Mujer",7.5,668,0,0,"2020-05-29",0,0,0,0,0,0,5003769
"g30-39","Mujer",12.1,1088,0.2,1,"2020-05-29",0,0,0,0,0,0,5003769
"g40-49","Mujer",16.2,1456,0.6,4,"2020-05-29",0,0,0,0,0,0,5003769
"g50-59","Mujer",18.2,1631,2.2,14,"2020-05-29",0,0,0,0,0,0,5003769
"g60-69","Mujer",13.5,1207,6.7,43,"2020-05-29",0,0,0,0,0,0,5003769
"g70-79","Mujer",11,983,19.4,124,"2020-05-29",0,0,0,0,0,0,5003769
"g80-89","Mujer",13.1,1171,45.5,290,"2020-05-29",0,0,0,0,0,0,5003769
"g90 o mas","Mujer",6.6,595,25.2,161,"2020-05-29",0,0,0,0,0,0,5003769
"g0-9","Hombre",1,69,0,0,"2020-06-01",2,0,0,0,0,0,5003769
"g10-19","Hombre",1.3,96,0,0,"2020-06-01",9,0,0,0,0,0,5003769
"g20-29","Hombre",5.2,374,0.1,1,"2020-06-01",4,0,0,0,0,0,5003769
"g30-39","Hombre",10.8,769,0.8,6,"2020-06-01",13,0,0,0,0,0,5003769
"g40-49","Hombre",15.6,1115,0.9,7,"2020-06-01",15,0,0,0,0,0,5003769
"g50-59","Hombre",17.4,1244,3.4,27,"2020-06-01",12,0,0,0,0,0,5003769
"g60-69","Hombre",17.8,1273,13.5,107,"2020-06-01",12,1,0,0,0,0,5003769
"g70-79","Hombre",16.1,1150,32.8,260,"2020-06-01",8,0,0,0,0,0,5003769
"g80-89","Hombre",11.6,830,36.5,289,"2020-06-01",2,0,0,0,0,0,5003769
"g90 o mas","Hombre",3.1,221,12,95,"2020-06-01",0,0,0,0,0,0,5003769
"g0-9","Mujer",0.7,59,0,0,"2020-06-01",3,0,0,0,0,0,5003769
"g10-19","Mujer",1.2,112,0.2,1,"2020-06-01",6,0,0,0,0,0,5003769
"g20-29","Mujer",7.5,681,0,0,"2020-06-01",13,0,0,0,0,0,5003769
"g30-39","Mujer",12.1,1100,0.2,1,"2020-06-01",12,0,0,0,0,0,5003769
"g40-49","Mujer",16.2,1471,0.6,4,"2020-06-01",15,0,0,0,0,0,5003769
"g50-59","Mujer",18.2,1650,2.2,14,"2020-06-01",19,0,0,0,0,0,5003769
"g60-69","Mujer",13.4,1215,6.7,43,"2020-06-01",8,0,0,0,0,0,5003769
"g70-79","Mujer",11,995,19.3,124,"2020-06-01",12,0,0,0,0,0,5003769
"g80-89","Mujer",13,1174,45.2,290,"2020-06-01",3,0,0,0,0,0,5003769
"g90 o mas","Mujer",6.6,598,25.6,163,"2020-06-01",3,2,0,0,0,0,5003769
"g0-9","Hombre",1,73,0,0,"2020-06-02",4,0,0,0,0,0,5003769
"g10-19","Hombre",1.4,102,0,0,"2020-06-02",6,0,0,0,0,0,5003769
"g20-29","Hombre",5.3,379,0.1,1,"2020-06-02",5,0,0,0,0,0,5003769
"g30-39","Hombre",10.8,779,0.8,6,"2020-06-02",10,0,0,0,0,0,5003769
"g40-49","Hombre",15.6,1123,0.9,7,"2020-06-02",8,0,0,0,0,0,5003769
"g50-59","Hombre",17.4,1257,3.4,27,"2020-06-02",13,0,0,0,0,0,5003769
"g60-69","Hombre",17.8,1283,13.5,107,"2020-06-02",10,0,0,0,0,0,5003769
